time,a1,a2,a3,a4,a5,a6,a7,a8
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
5.0,10.0,5.0,3.0,7.0,2.0,4.0,3.0,12.0
